model,run,accuracy,f1_macro,f1_weighted
DecisionTree,0,0.9990796134376438,0.9990109210420373,0.9990800766053034
RandomForest,0,0.9995398067188219,0.99950521107485,0.9995399229904164
LogisticRegression,0,0.9986194201564658,0.9985382817497843,0.9986198064403391
DecisionTree,1,0.9990796134376438,0.9989388365743855,0.9990789307674277
RandomForest,1,0.9990796134376438,0.9990463152525804,0.9990793281864653
LogisticRegression,1,0.9986194201564658,0.9985626841360367,0.9986192409073844
DecisionTree,2,1.0,1.0,1.0
RandomForest,2,0.9995398067188219,0.9994954645799448,0.9995397186335242
LogisticRegression,2,0.9990796134376438,0.9989989855591359,0.9990798200421125
DecisionTree,3,0.9981592268752876,0.9980973796713488,0.9981578260126962
RandomForest,3,0.9976990335941095,0.9975694733839955,0.9976986403051817
LogisticRegression,3,0.9963184537505753,0.9961279842025281,0.996317788067838
DecisionTree,4,0.9990796134376438,0.9990231809824008,0.9990796134376438
RandomForest,4,0.9990796134376438,0.999046580841639,0.9990792280321411
LogisticRegression,4,0.9967786470317533,0.9966281181541181,0.9967779289470846
DecisionTree,5,0.9995398067188219,0.9995115871270998,0.9995397142059109
RandomForest,5,0.9990796134376438,0.9990383777851332,0.9990791869393325
LogisticRegression,5,0.9981592268752876,0.998073809848555,0.998159460257928
DecisionTree,6,0.9995398067188219,0.9994951309354448,0.9995399209035922
RandomForest,6,0.9995398067188219,0.9995140279433933,0.9995397093935392
LogisticRegression,6,0.9981592268752876,0.998028657119229,0.9981595433661367
DecisionTree,7,1.0,1.0,1.0
RandomForest,7,0.9995398067188219,0.9995300952625059,0.9995397084247296
LogisticRegression,7,0.9986194201564658,0.9985555183523005,0.9986191356695625
DecisionTree,8,1.0,1.0,1.0
RandomForest,8,1.0,1.0,1.0
LogisticRegression,8,0.9981592268752876,0.9980575489328642,0.9981597609086034
DecisionTree,9,1.0,1.0,1.0
RandomForest,9,1.0,1.0,1.0
LogisticRegression,9,0.9976990335941095,0.997411268406977,0.9976979942357042
DecisionTree,10,0.9990796134376438,0.9990119159953307,0.9990788514527151
RandomForest,10,0.9986194201564658,0.9985589348045378,0.9986196822036569
LogisticRegression,10,0.9995398067188219,0.9995367711169972,0.999539724567598
DecisionTree,11,1.0,1.0,1.0
RandomForest,11,0.9990796134376438,0.999039329905624,0.9990793319546218
LogisticRegression,11,0.9990796134376438,0.999039329905624,0.9990793319546218
DecisionTree,12,1.0,1.0,1.0
RandomForest,12,0.9995398067188219,0.9995358034116985,0.9995397342921523
LogisticRegression,12,0.9990796134376438,0.9990357916633021,0.9990796538993844
DecisionTree,13,0.9995398067188219,0.9994861416195671,0.9995399275682558
RandomForest,13,0.9995398067188219,0.9995199971738564,0.999539716491619
LogisticRegression,13,0.9976990335941095,0.9975233057918379,0.9976997793366675
DecisionTree,14,1.0,1.0,1.0
RandomForest,14,0.9972388403129314,0.9969891926745678,0.9972392356738583
LogisticRegression,14,0.9981592268752876,0.9980605737751803,0.9981595152638484
DecisionTree,15,0.9995398067188219,0.9995309090939688,0.9995397161104612
RandomForest,15,1.0,1.0,1.0
LogisticRegression,15,0.9995398067188219,0.9995118161830151,0.99953973368332
DecisionTree,16,1.0,1.0,1.0
RandomForest,16,0.9995398067188219,0.999521018796516,0.9995397105850269
LogisticRegression,16,0.9990796134376438,0.9990416363534613,0.9990792271317945
DecisionTree,17,1.0,1.0,1.0
RandomForest,17,0.9981592268752876,0.9978384953022263,0.9981588642448461
LogisticRegression,17,0.9972388403129314,0.9966606504857236,0.9972384751286979
DecisionTree,18,0.9995398067188219,0.9995238820585355,0.9995397189961988
RandomForest,18,1.0,1.0,1.0
LogisticRegression,18,0.9990796134376438,0.9990403679966834,0.9990796086637629
DecisionTree,19,1.0,1.0,1.0
RandomForest,19,1.0,1.0,1.0
LogisticRegression,19,0.9990796134376438,0.9990254001495769,0.9990797560222935
